,0,1,2,3,4
0,1,6,6,6,0
1,0,6,6,6,1
2,0,5,6,6,2
3,1,4,6,6,1
4,1,3,6,5,1
5,1,2,6,4,1
6,1,1,6,3,1
7,1,0,6,2,1
8,1,6,6,1,0
9,0,6,6,0,1
10,0,6,6,1,1
11,0,6,6,0,1
12,0,6,6,1,1
13,0,6,6,0,1
14,0,6,5,1,1
15,0,6,4,0,1
16,0,6,3,1,1
17,0,6,2,0,1
18,0,5,1,6,1
19,0,4,0,6,1
20,0,3,1,6,1
21,0,2,0,6,1
22,0,1,5,6,2
23,1,0,4,6,2
24,2,1,3,5,1
25,2,0,2,4,1
26,2,5,1,3,1
27,2,4,0,2,1
28,2,3,6,1,0
29,1,2,6,0,1
30,1,1,6,5,1
31,1,0,6,4,1
32,1,1,6,3,1
33,1,0,6,2,1
34,1,5,6,1,1
35,1,4,6,0,1
36,1,3,6,1,1
37,1,2,6,0,1
38,1,1,6,3,1
39,1,0,6,2,1
40,1,3,6,1,1
41,1,2,6,0,1
42,1,1,5,6,2
43,2,0,4,6,1
44,2,1,3,6,1
45,2,0,2,6,1
46,2,6,1,6,1
47,2,6,0,6,1
48,2,5,1,6,1
49,2,4,0,6,1
50,2,3,1,6,1
51,2,2,0,6,1
52,2,1,6,6,0
53,1,0,6,6,1
54,1,1,6,5,1
55,1,0,6,4,1
56,1,1,6,3,1
57,1,0,6,2,1
58,1,3,6,1,1
59,1,2,6,0,1
60,1,1,6,5,1
61,1,0,6,4,1
62,1,1,5,3,1
63,1,0,4,2,1
64,1,5,3,1,0
65,0,4,2,0,1
66,0,3,1,6,1
67,0,2,0,6,1
68,0,1,5,6,2
69,1,0,4,6,2
70,2,1,3,5,1
71,2,0,2,4,1
72,2,5,1,3,1
73,2,4,0,2,1
74,2,3,5,1,0
75,1,2,4,0,1
76,1,1,3,5,2
77,2,0,2,4,1
78,2,6,1,3,1
79,2,6,0,2,1
80,2,6,3,1,0
81,1,6,2,0,0
82,0,6,1,5,1
83,0,6,0,4,1
84,0,5,1,3,1
85,0,4,0,2,1
86,0,3,6,1,2
87,1,2,6,0,1
88,1,1,5,3,1
